Transaction_ID,Transaction_date,Telco,Device_ID,Amount,Currency,Country,Bag_Size,Quantity,Mass
MP220316.0838.G49091,2022/03/16 08:38,AIRTEL,310056412,60,ZMW,ZM,20,1,20
MP220316.0949.L55420,2022/03/16 09:49,AIRTEL,310052409,60,ZMW,ZM,20,1,20
MP220316.1420.G65144,2022/03/16 14:20,AIRTEL,310034829,120,ZMW,ZM,20,2,40
MP220317.1405.G15687,2022/03/17 14:05,AIRTEL,310054880,480,ZMW,ZM,20,10,200
MP220317.1608.J20744,2022/03/17 16:08,AIRTEL,310052409,130,ZMW,ZM,50,1,50
MP220321.1053.I56718,2022/03/21 10:53,AIRTEL,310034709,42,ZMW,ZM,20,1,20
MP220321.1658.K68614,2022/03/21 16:58,AIRTEL,310034709,60,ZMW,ZM,20,1,20
MP220323.0937.K06952,2022/03/23 09:37,AIRTEL,310037347,120,ZMW,ZM,20,2,40
MP220323.1052.G10371,2022/03/23 10:52,AIRTEL,310052409,130,ZMW,ZM,50,1,50
MP220323.1412.J15963,2022/03/23 14:12,AIRTEL,310033483,60,ZMW,ZM,20,1,20
MP220323.1447.L22056,2022/03/23 14:47,AIRTEL,310054538,60,ZMW,ZM,20,1,20
2889465675,2022/03/24 08:04,MTN,310054739,300,ZMW,ZM,20,5,100
MP220324.1007.G06523,2022/03/24 10:07,AIRTEL,310054739,60,ZMW,ZM,20,1,20
MP220324.1009.L07763,2022/03/24 10:09,AIRTEL,310054739,20,ZMW,ZM,5,1,5
MP220324.1355.K16219,2022/03/24 13:55,AIRTEL,310033088,60,ZMW,ZM,20,1,20
MP220324.1523.K20332,2022/03/24 15:23,AIRTEL,310002192,60,ZMW,ZM,20,1,20
MP220324.1539.L24637,2022/03/24 15:39,AIRTEL,310033920,120,ZMW,ZM,20,2,40
MP220324.1623.J22615,2022/03/24 16:23,AIRTEL,310035077,120,ZMW,ZM,20,2,40
MP220325.0841.K54271,2022/03/25 08:41,AIRTEL,310033253,42,ZMW,ZM,20,1,20
MP220325.0927.L64575,2022/03/25 09:27,AIRTEL,310033779,20,ZMW,ZM,5,1,5
MP220325.1001.J55868,2022/03/25 10:01,AIRTEL,310032847,60,ZMW,ZM,20,1,20
MP220325.1437.J67805,2022/03/25 14:37,AIRTEL,310034664,120,ZMW,ZM,20,2,40
MP220325.1446.J68248,2022/03/25 14:46,AIRTEL,310034885,180,ZMW,ZM,20,3,60
MP220325.1515.H70588,2022/03/25 15:15,AIRTEL,310054880,192,ZMW,ZM,20,4,80
MP220328.0900.K09347,2022/03/28 09:00,AIRTEL,310035075,60,ZMW,ZM,20,1,20
MP220328.1148.L27064,2022/03/28 11:48,AIRTEL,310035335,60,ZMW,ZM,20,1,20
MP220328.1334.I17077,2022/03/28 13:34,AIRTEL,310034617,60,ZMW,ZM,20,1,20
MP220328.1409.J21208,2022/03/28 14:09,AIRTEL,310034460,60,ZMW,ZM,20,1,20
MP220330.0925.K16542,2022/03/30 09:25,AIRTEL,310034480,60,ZMW,ZM,20,1,20
MP220330.0952.J16143,2022/03/30 09:52,AIRTEL,310052409,130,ZMW,ZM,50,1,50
MP220330.1217.K24015,2022/03/30 12:17,AIRTEL,310052117,120,ZMW,ZM,20,2,40
MP220330.1434.L41921,2022/03/30 14:34,AIRTEL,310054878,42,ZMW,ZM,20,1,20
MP220330.1643.H30001,2022/03/30 16:43,AIRTEL,310032636,120,ZMW,ZM,20,2,40
MP220331.1332.I72597,2022/03/31 13:32,AIRTEL,310005712,120,ZMW,ZM,20,2,40
MP220331.1334.J77114,2022/03/31 13:34,AIRTEL,310005712,20,ZMW,ZM,5,1,5
MP220331.1508.L96689,2022/03/31 15:08,AIRTEL,310032746,60,ZMW,ZM,20,1,20
MP220331.1559.J82840,2022/03/31 15:59,AIRTEL,310038500,60,ZMW,ZM,20,1,20
2907082332,2022/04/01 08:01,MTN,310035082,60,ZMW,ZM,20,1,20
MP220401.0915.K23588,2022/04/01 09:15,AIRTEL,310033075,60,ZMW,ZM,20,1,20
MP220401.1106.H25883,2022/04/01 11:06,AIRTEL,310035335,60,ZMW,ZM,20,1,20
MP220401.1219.G25543,2022/04/01 12:19,AIRTEL,310035867,180,ZMW,ZM,20,3,60
MP220401.1241.L49620,2022/04/01 12:41,AIRTEL,310052409,130,ZMW,ZM,50,1,50
MP220401.1614.H43417,2022/04/01 16:14,AIRTEL,310002192,20,ZMW,ZM,5,1,5
MP220401.1659.K51284,2022/04/01 16:59,AIRTEL,310033549,84,ZMW,ZM,20,2,40
MP220404.0852.J08196,2022/04/04 08:52,AIRTEL,310033253,91,ZMW,ZM,50,1,50
MP220404.1023.I09180,2022/04/04 10:23,AIRTEL,310032447,60,ZMW,ZM,20,1,20
MP220404.1120.K16155,2022/04/04 11:20,AIRTEL,310002192,60,ZMW,ZM,20,1,20
MP220404.1441.I20336,2022/04/04 14:41,AIRTEL,310035335,130,ZMW,ZM,50,1,50
MP220404.1504.G14924,2022/04/04 15:04,AIRTEL,310035077,60,ZMW,ZM,20,1,20
MP220404.1508.J23371,2022/04/04 15:08,AIRTEL,310034665,120,ZMW,ZM,20,2,40
MP220404.1538.K27433,2022/04/04 15:38,AIRTEL,310050881,120,ZMW,ZM,20,2,40
MP220404.1721.I27958,2022/04/04 17:21,AIRTEL,310054878,42,ZMW,ZM,20,1,20
MP220405.1438.G21419,2022/04/05 14:38,AIRTEL,310034709,84,ZMW,ZM,20,2,40
MP220405.1452.G22263,2022/04/05 14:52,AIRTEL,310050169,60,ZMW,ZM,20,1,20
MP220405.1505.H23604,2022/04/05 15:05,AIRTEL,310032624,60,ZMW,ZM,20,1,20
MP220405.1507.I21671,2022/04/05 15:07,AIRTEL,310054880,480,ZMW,ZM,20,10,200
MP220405.1629.K27234,2022/04/05 16:29,AIRTEL,310054519,120,ZMW,ZM,20,2,40
MP220405.1658.K28765,2022/04/05 16:58,AIRTEL,310034765,120,ZMW,ZM,20,2,40
MP220405.1722.L29859,2022/04/05 17:22,AIRTEL,310036535,60,ZMW,ZM,20,1,20
MP220406.0916.L62590,2022/04/06 09:16,AIRTEL,310003327,130,ZMW,ZM,50,1,50
MP220406.0918.G62312,2022/04/06 09:18,AIRTEL,310003327,60,ZMW,ZM,20,1,20
MP220406.0948.L64935,2022/04/06 09:48,AIRTEL,310032847,60,ZMW,ZM,20,1,20
MP220406.1205.I71646,2022/04/06 12:05,AIRTEL,310051841,60,ZMW,ZM,20,1,20
MP220407.1131.I26103,2022/04/07 11:31,AIRTEL,310002192,60,ZMW,ZM,20,1,20
2921005598,2022/04/07 11:56,MTN,310035082,130,ZMW,ZM,50,1,50
MP220407.1233.G29182,2022/04/07 12:33,AIRTEL,310032699,130,ZMW,ZM,30,1,30
MP220407.1347.G32761,2022/04/07 13:47,AIRTEL,310035025,130,ZMW,ZM,30,1,30
MP220407.1545.H43566,2022/04/07 15:45,AIRTEL,310032703,130,ZMW,ZM,30,1,30
MP220408.0957.I06502,2022/04/08 09:57,AIRTEL,310051983,91,ZMW,ZM,50,1,50
MP220408.1050.K09693,2022/04/08 10:50,AIRTEL,310034456,60,ZMW,ZM,20,1,20
MP220408.1223.I13858,2022/04/08 12:23,AIRTEL,310054739,120,ZMW,ZM,20,2,40
MP220408.1436.I20752,2022/04/08 14:36,AIRTEL,310032638,120,ZMW,ZM,20,2,40
MP220408.1640.J26915,2022/04/08 16:40,AIRTEL,310035245,60,ZMW,ZM,20,1,20
MP220411.1041.L23150,2022/04/11 10:41,AIRTEL,310034617,60,ZMW,ZM,20,1,20
MP220411.1106.I23769,2022/04/11 11:06,AIRTEL,310056487,60,ZMW,ZM,20,1,20
MP220411.1126.J23726,2022/04/11 11:26,AIRTEL,310033234,61,ZMW,ZM,20,1,20
MP220411.1130.G11163,2022/04/11 11:30,AIRTEL,310054538,60,ZMW,ZM,20,1,20
MP220411.1228.I27959,2022/04/11 12:28,AIRTEL,310038500,60,ZMW,ZM,20,1,20
MP220411.1526.J35341,2022/04/11 15:26,AIRTEL,310034885,260,ZMW,ZM,50,2,100
MP220411.1639.J02966,2022/04/11 16:39,AIRTEL,310054878,42,ZMW,ZM,20,1,20
MP220412.1112.J42528,2022/04/12 11:12,AIRTEL,310051588,60,ZMW,ZM,20,1,20
MP220412.1429.J53406,2022/04/12 14:29,AIRTEL,310052409,120,ZMW,ZM,20,2,40
MP220414.1631.G85730,2022/04/14 16:31,AIRTEL,310054880,480,ZMW,ZM,20,10,200
MP220419.1528.H37062,2022/04/19 15:28,AIRTEL,310035057,60,ZMW,ZM,20,1,20
MP220420.0909.L07413,2022/04/20 09:09,AIRTEL,310002192,60,ZMW,ZM,20,1,20
MP220420.0958.H09487,2022/04/20 09:58,AIRTEL,820050254,20,ZMW,ZM,5,1,5
MP220421.1426.J21030,2022/04/21 14:26,AIRTEL,310036535,60,ZMW,ZM,20,1,20
MP220421.1707.J29832,2022/04/21 17:07,AIRTEL,310052409,20,ZMW,ZM,5,1,5
MP220421.1754.H33521,2022/04/21 17:54,AIRTEL,310054878,42,ZMW,ZM,20,1,20
2950845800,2022/04/22 07:11,MTN,310033483,130,ZMW,ZM,50,1,50
MP220422.1345.J74825,2022/04/22 13:45,AIRTEL,310052043,20,ZMW,ZM,5,1,5
MP220423.0934.H26859,2022/04/23 09:34,AIRTEL,310034098,60,ZMW,ZM,20,1,20
MP220423.1638.H62240,2022/04/23 16:38,AIRTEL,310035025,130,ZMW,ZM,30,1,30
MP220425.1643.I95572,2022/04/25 16:43,AIRTEL,310050274,120,ZMW,ZM,20,2,40
