CRM_Transaction_IDs,Transaction_Amount,Addon_Value,Date,Wallet_Operator,Size,Quatity,Total_Kgs,Device_ID,UID-Connected,isNFT,isBetterCooking,Repossesed_Device_IDs,isClaimed
2982699794,130.00,130.00,5/6/22,MTN,30,1,30,310020877,820091443,No,No,820091443,No
2982752501,130.00,130.00,5/6/22,MTN,30,1,30,,,No,No,820091394,No
MP220506.1023.G27755,130.00,130.00,5/6/22,Airtel,30,1,30,310003080,820092458,Yes,No,820092458,Yes
2982818499,130.00,130.00,5/6/22,MTN,30,1,30,310013456,820091465,Yes,No,820091465,Yes
2982850659,130.00,130.00,5/6/22,MTN,30,1,30,,,No,No,820092132,No
2982916601,130.00,130.00,5/6/22,MTN,30,1,30,310022421,820092442,Yes,No,820092442,Yes
MP220506.1109.I44622,130.00,130.00,5/6/22,Airtel,30,1,30,310025570,820091960,Yes,No,820091960,Yes
2982952463,130.00,130.00,5/6/22,MTN,30,1,30,310020782,820092380,No,No,820092380,No
2983021323,130.00,130.00,5/6/22,MTN,30,1,30,310001999,820091550,Yes,No,820091550,Yes
MP220506.1227.H54114,130.00,130.00,5/6/22,Airtel,30,1,30,,820046835,Yes,No,,Yes
2983203318,130.00,130.00,5/6/22,MTN,30,1,30,,820050336,Yes,No,,Yes
2983301249,130.00,130.00,5/6/22,MTN,30,1,30,310002884,820091396,Yes,No,820091396,Yes
2983345297,130.00,130.00,5/6/22,MTN,30,1,30,,,No,No,820092320,No
MP220506.1412.K25857,130.00,130.00,5/6/22,Airtel,30,1,30,310023109,820092034,No,No,820092034,No
MP220506.1421.G38200,130.00,130.00,5/6/22,Airtel,30,1,30,310017865,820092138,Yes,No,820092138,Yes
MP220506.1448.H60300,130.00,130.00,5/6/22,Airtel,30,1,30,310021823,820091506,Yes,No,820091506,Yes
MP220506.1507.J35747,130.00,130.00,5/6/22,Airtel,30,1,30,310001813,820091540,Yes,No,820091540,Yes
MP220506.1527.H61872,130.00,130.00,5/6/22,Airtel,30,1,30,310021805,820092134,No,No,820092134,No
MP220506.1544.K30416,130.00,130.00,5/6/22,Airtel,30,1,30,,820050433,Yes,No,,Yes
MP220506.1613.L94246,130.00,130.00,5/6/22,Airtel,30,1,30,310021407,820091863,Yes,No,820091863,Yes
MP220506.1715.I61986,130.00,130.00,5/6/22,Airtel,30,1,30,310000832,820091474,Yes,No,820091474,Yes
MP220506.1726.I62513,130.00,130.00,5/6/22,Airtel,30,1,30,310029142,820092033,Yes,No,820092033,Yes
2983962993,130.00,130.00,5/6/22,MTN,30,1,30,0,820092032,No,No,820092032,No
MP220506.1742.I63194,130.00,130.00,5/6/22,Airtel,30,1,30,,820046856,Yes,No,,Yes
MP220506.1955.G57598,130.00,130.00,5/6/22,Airtel,30,1,30,310013229,820091554,No,No,820091554,No
MP220507.0745.H93293,130.00,130.00,5/7/22,Airtel,30,1,30,,820050730,Yes,No,,Yes
MP220507.1328.G93815,130.00,130.00,5/7/22,Airtel,30,1,30,,820050655,No,No,,No
MP220509.0956.H15905,130.00,130.00,5/9/22,Airtel,30,1,30,,,No,No,820050747,No
2991445884,130.00,130.00,5/10/22,MTN,30,1,30,310017700,820091507,Yes,No,820091507,Yes
2991564370,130.00,130.00,5/10/22,MTN,30,1,30,310022211,820091790,Yes,No,820091790,Yes
2991640082,130.00,130.00,5/10/22,MTN,30,1,30,0,820091868,No,No,820091868,No
MP220510.1203.J64297,130.00,130.00,5/10/22,Airtel,30,1,30,310034148,820091539,Yes,No,820092335,Yes
2991714524,130.00,130.00,5/10/22,MTN,30,1,30,0,820091797,No,No,820091797,No
2991770613,130.00,130.00,5/10/22,MTN,30,1,30,31000605,820091467,Yes,No,820091467,Yes
MP220510.1312.L84171,130.00,130.00,5/10/22,Airtel,30,1,30,310001858,820091399,Yes,No,820091399,Yes
2991813025,130.00,130.00,5/10/22,MTN,30,1,30,310014076,820091462,No,No,820091462,No
MP220510.1331.G78993,130.00,130.00,5/10/22,Airtel,30,1,30,310008813,820092135,No,No,820092135,No
2991866074,130.00,130.00,5/10/22,MTN,30,1,30,310017478,820091794,Yes,No,820091794,Yes
MP220510.1348.G79705,130.00,130.00,5/10/22,Airtel,30,1,30,310023547,820092131,Yes,No,820092131,Yes
2991946959,130.00,130.00,5/10/22,MTN,30,1,30,310076323,820092336,Yes,No,820092336,Yes
2991981665,130.00,130.00,5/10/22,MTN,30,1,30,,,No,No,820092445,Yes
MP220510.1435.H20494,130.00,130.00,5/10/22,Airtel,30,1,30,310038361,820092333,Yes,No,820092333,Yes
2992021059,130.00,130.00,5/10/22,MTN,30,1,30,310002768,820091476,Yes,No,820091476,Yes
2992065070,130.00,130.00,5/10/22,MTN,30,1,30,310000405,820092037,Yes,No,820092037,Yes
MP220510.1616.L92864,130.00,130.00,5/10/22,Airtel,30,1,30,310031447,820091478,Yes,No,820091478,Yes
MP220510.1640.J77366,130.00,130.00,5/10/22,Airtel,30,1,30,310020612,820091942,Yes,No,820091942,Yes
MP220510.2045.H44350,130.00,130.00,5/10/22,Airtel,30,1,30,310022515,820091551,Yes,No,820091551,Yes
2993831142,130.00,130.00,5/11/22,MTN,30,1,30,,,No,No,820091948,No
2993936146,10.00,130.00,5/11/22,MTN,30,1,30,,,No,No,820091946,No
MP220511.1244.J19948,130.00,130.00,5/11/22,Airtel,30,1,30,,,No,No,820091968,No
MP220511.1246.G31836,130.00,130.00,5/11/22,Airtel,30,1,30,310020614,820091852,Yes,No,820091852,Yes
2993967017,110.00,130.00,5/11/22,MTN,30,1,30,,,No,No,820092443,No
MP220511.1248.J20169,130.00,130.00,5/11/22,Airtel,30,1,30,,,No,No,820091468,No
